count,deep,Source,Target,Weight
1389,336,9976168,9976048,-8
1390,337,9976048,9976048,0
1391,333,9976288,9976360,4
1392,334,9976360,9976360,0
1393,329,9976216,9987104,680
1394,330,9976216,9986888,667
1395,331,9976216,9986480,641
1396,332,9976216,9976600,24
1397,333,9976216,9976384,10
1398,334,9976216,9976336,7
1399,335,9976312,9976336,1
1400,336,9976336,9976336,0
1401,335,9976240,9976384,9
1402,336,9976240,9976696,28
1403,337,9976696,9976696,0
1404,337,9976480,9976384,-6
1405,338,9976480,9976144,-21
1406,339,9976120,9976144,1
1407,340,9976648,9976144,-32
1408,341,9976144,9976144,0
1409,339,9976192,9976384,12
1410,340,9976720,9976384,-21
1411,341,9976384,9976384,0
1412,337,9976432,9976600,10
1413,338,9976024,9976600,36
1414,339,9976504,9976600,6
1415,340,9976552,9976600,3
1416,341,9976576,9976600,1
1417,342,9976600,9976600,0
1418,337,9976624,9986480,616
1419,338,9976000,9986480,655
1420,339,9986240,9986480,15
1421,340,9986264,9986480,13
1422,341,9986480,9986480,0
1423,337,9986600,9986888,18
1424,338,9986600,9986672,4
1425,339,9986984,9986672,-20
1426,340,9986840,9986672,-11
1427,341,9986912,9986672,-15
1428,342,9986672,9986672,0
1429,339,9986864,9986888,1
1430,340,9986768,9986888,7
1431,341,9986888,9986888,0
1432,338,9986432,9987104,42
1433,339,9986936,9987104,10
1434,340,9986936,9986408,-33
1435,341,9986936,9986960,1
1436,342,9986960,9986960,0
1437,342,9986336,9986408,4
1438,343,9986384,9986408,1
1439,344,9986384,9986384,0
1440,345,9986408,9986408,0
1441,343,9986552,9987104,34
1442,344,9986552,9987632,67
1443,345,9986552,9986648,6
1444,346,9986552,9986576,1
1445,347,9986792,9986576,-14
1446,348,9986576,9986576,0
1447,347,9986624,9986648,1
1448,348,9986648,9986648,0
1449,347,9986696,9987632,58
1450,348,9986696,9986720,1
1451,349,9986720,9986720,0
1452,349,9987704,9987632,-5
1453,350,9987344,9987632,18
1454,351,9987080,9987632,34
1455,352,9987440,9987632,12
1456,353,9987392,9987632,15
1457,354,9987632,9987632,0
1458,348,9987128,9987104,-2
1459,349,9987128,9987752,39
1460,350,9987128,9987224,6
1461,351,9987368,9987224,-9
1462,352,9987368,9987368,0
1463,353,9987416,9987224,-12
1464,354,9987224,9987224,0
1465,352,9987656,9987752,6
1466,353,9987152,9987752,37
1467,354,9987752,9987752,0
1468,352,9987464,9987104,-23
1469,353,9987272,9987104,-11
1470,354,9987536,9987104,-27
1471,355,9987536,9987560,1
1472,356,9987296,9987560,16
1473,357,9987200,9987560,22
1474,358,9987488,9987560,4
1475,359,9987560,9987560,0
1476,356,9987104,9987104,0
1477,348,9987320,9989832,157
1478,349,9987320,9981536,-362
1479,350,9987320,9980672,-416
1480,351,9987320,9987992,42
1481,352,9987512,9987992,30
1482,353,9987512,9987920,25
1483,354,9987512,9987584,4
1484,355,9987584,9987584,0
1485,355,9987968,9987920,-3
1486,356,9987944,9987920,-2
1487,357,9987824,9987920,6
1488,358,9987920,9987920,0
1489,355,9988040,9987992,-3
